stock_code,stock_name,gap_per,gap_hour,gap_int
298060,에스씨엠생명과학,2.85,090021,2.85
300120,라온피플,4.62,090029,4.62
303030,지니틱스,2.35,090013,2.35
309930,오하임아이엔티,6.71,090023,6.71
317870,엔바이오니아,2.09,090025,2.09
327260,RF머트리얼즈,5.31,090026,5.31
335810,프리시젼바이오,2.15,090020,2.15
352910,오비고,2.59,090024,2.59
362320,청담글로벌,2.18,090025,2.18
377330,이지트로닉스,4.42,090028,4.42
389260,대명에너지,4.77,090023,4.77
424760,IBKS제18호스팩,3.55,090016,3.55
436610,한국제11호스팩,2.09,090030,2.09
