stock_code,stock_name,stock_class,gap_per,gap_hour,gap_int,stck_oprc,stck_hgpr,stck_lwpr_D_10,stck_lwpr_D_9,stck_lwpr_D_8,stck_lwpr_D_7,stck_lwpr_D_6,stck_lwpr_D_5,stck_lwpr_D_4,stck_lwpr_D_3,stck_lwpr_D_2,stck_lwpr_D_1,stck_lwpr_D_0,acml_vol_D_10,acml_vol_D_9,acml_vol_D_8,acml_vol_D_7,acml_vol_D_6,acml_vol_D_5,acml_vol_D_4,acml_vol_D_3,acml_vol_D_2,acml_vol_D_1,acml_vol_D_0,gap_change,mean_vlome,today_vlome,volume_change,slope,day_change,deter_change,day_change_per
000480,조선내화,kospi,4.44,090014,4.44,87000.0,89300.0,83100.0,83100.0,82600.0,82700.0,82700.0,82800.0,82100.0,82200.0,82700.0,82500.0,84600.0,4291.0,1758.0,1778.0,780.0,676.0,541.0,606.0,173.0,873.0,2795.0,18736.0,4.44,898.125,18736,19.86123869171886,5.280875948689826e-05,2300.0,1,0.026436781609195492
001570,금양,kospi,5.12,090030,5.12,75500.0,77900.0,44400.0,46100.0,45150.0,47700.0,47400.0,46650.0,45100.0,49150.0,60200.0,61100.0,69800.0,6679726.0,3341832.0,2518348.0,4216786.0,2904851.0,2491866.0,2346280.0,15701440.0,5655617.0,14169172.0,5575949.0,5.12,3358345.111111111,5575949,0.660326385621278,7.567952852099721e-06,2400.0,1,0.03178807947019857
001820,삼화콘덴서,kospi,2.59,090018,2.59,47550.0,49300.0,45800.0,46350.0,46850.0,46100.0,45100.0,46550.0,46500.0,46600.0,45700.0,46100.0,47400.0,127561.0,95016.0,108251.0,66693.0,72154.0,75456.0,97057.0,80612.0,83179.0,51776.0,179026.0,2.59,85337.9,179026,1.0978486698172794,9.935359559334946e-05,1750.0,1,0.03680336487907465
002070,비비안,kospi,3.92,090030,3.92,1271.0,1280.0,1255.0,1213.0,1200.0,1211.0,1228.0,1268.0,1269.0,1246.0,1226.0,1221.0,1243.0,119793.0,157941.0,137365.0,77098.0,141521.0,81776.0,66685.0,41656.0,71077.0,80716.0,125792.0,3.92,89615.5,125792,0.4036857463273653,0.003938493392879344,9.0,1,0.007081038552321006
002710,TCC스틸,kospi,2.64,090026,2.64,23500.0,23550.0,15600.0,15800.0,15650.0,16350.0,18060.0,17240.0,17090.0,18300.0,18890.0,19760.0,20550.0,7077552.0,1350955.0,1145748.0,4664851.0,1460397.0,1351410.0,900867.0,1900031.0,923500.0,6313005.0,3249132.0,2.64,1131682.25,3249132,1.871063852066249,0.00011258918915767608,50.0,1,0.0021276595744681437
00279K,아모레G3우(전환),kospi,2.38,090030,2.38,28000.0,28000.0,28100.0,27400.0,26450.0,26200.0,26150.0,26450.0,26450.0,26100.0,26700.0,26600.0,26850.0,1236.0,5380.0,5713.0,7523.0,1921.0,3976.0,2434.0,6044.0,4349.0,3437.0,2534.0,2.38,4286.222222222223,2534,-0.40880340107839075,0.00015940735089736994,0.0,0,0.0
003075,코오롱글로벌우,kospi,2.98,090016,2.98,24200.0,24200.0,25500.0,24500.0,24050.0,24350.0,23600.0,24050.0,23700.0,24000.0,24100.0,23500.0,23600.0,4449.0,5032.0,3364.0,2399.0,2562.0,1426.0,1154.0,1357.0,1191.0,3112.0,2256.0,2.98,2548.222222222222,2256,-0.11467689892735677,0.0001933052966892727,0.0,0,0.0
004100,태양금속,kospi,2.16,090029,2.16,1627.0,1708.0,1702.0,1672.0,1570.0,1639.0,1680.0,1703.0,1685.0,1680.0,1656.0,1605.0,1627.0,647410.0,296728.0,409259.0,433724.0,160898.0,174728.0,247867.0,196833.0,189343.0,248357.0,223728.0,2.16,275841.7,223728,-0.18892611233181933,0.00304280447937482,81.0,1,0.0497848801475107
004105,태양금속우,kospi,3.29,090003,3.29,3300.0,3355.0,3515.0,3300.0,3100.0,3150.0,3155.0,3275.0,3295.0,3350.0,3240.0,3165.0,3230.0,47453.0,83046.0,88599.0,38557.0,30693.0,27782.0,83062.0,27195.0,27565.0,27116.0,29986.0,3.29,45718.2,29986,-0.3441124103748616,0.0013939770170575644,55.0,1,0.016666666666666607
005320,국동,kospi,4.25,090030,4.25,1249.0,1338.0,1582.0,1536.0,1522.0,1502.0,1436.0,1435.0,1414.0,1390.0,1336.0,1236.0,1249.0,216148.0,370009.0,434743.0,650504.0,754867.0,751333.0,411593.0,572902.0,524178.0,1796004.0,788427.0,4.25,468752.6,788427,0.6819682706826586,0.0036327158947369893,89.0,1,0.07125700560448367
