stock_code,stock_name,stock_class,gap_per,gap_hour,gap_int,stck_oprc,stck_hgpr,stck_lwpr_D_10,stck_lwpr_D_9,stck_lwpr_D_8,stck_lwpr_D_7,stck_lwpr_D_6,stck_lwpr_D_5,stck_lwpr_D_4,stck_lwpr_D_3,stck_lwpr_D_2,stck_lwpr_D_1,stck_lwpr_D_0,acml_vol_D_10,acml_vol_D_9,acml_vol_D_8,acml_vol_D_7,acml_vol_D_6,acml_vol_D_5,acml_vol_D_4,acml_vol_D_3,acml_vol_D_2,acml_vol_D_1,acml_vol_D_0,gap_change,mean_vlome,today_vlome,volume_change,slope,day_change,deter_change,day_change_per
002350,넥센타이어,kospi,2.19,090017,2.19,7980,8020,7490,7500,7530,7500,7390,7470,7530,7600,7540,7370,7240,74141,61870,85006,71833,143621,123720,70886,164795,80964,1508394,501209,2.19,88407.6,501209,4.669297662191938,0.0005829886677965743,40,1,0.005012531328320913
002787,진흥기업2우B,kospi,3.59,090024,3.59,13570,13570,13250,13250,13220,13270,13010,13030,13160,13200,13100,13000,13020,521,42,114,49,292,236,5,310,188,432,275,3.59,195.22222222222223,275,0.408651109846329,0.00035295534887311937,0,0,0.0
003530,한화투자증권,kospi,3.20,090020,3.2,2885,2920,3040,3045,3030,2900,2900,2855,2810,2795,2735,2710,2695,401872,898194,731661,1986687,1302098,1139828,763062,956865,888624,878187,1491465,3.2,787211.0,1491465,0.8946191046619014,0.0015759845410302092,35,1,0.0121317157712304
005030,부산주공,kospi,2.75,090014,2.75,485,490,522,530,510,499,465,480,480,473,463,452,451,622876,492834,1599621,29404416,4120760,1553497,1152851,1553841,769273,927413,838835,2.75,968155.5,838835,-0.13357410044150964,0.00908735837016781,5,1,0.010309278350515427
010120,LS ELECTRIC,kospi,2.76,090024,2.76,52000,54000,49750,50200,50100,51600,51100,51300,50700,51000,49700,49250,51600,92475,120282,300473,109516,114279,117303,116639,96846,101072,111058,704352,2.76,102223.55555555556,704352,5.890310126389656,9.324730284425852e-05,2000,1,0.03846153846153855
010820,퍼스텍,kospi,7.13,090028,7.13,3325,3640,3205,3190,3210,3240,3240,3265,3210,3130,3030,3010,3230,574774,404077,456956,284067,494317,481386,617825,542406,483827,432796,26734784,7.13,434286.5,26734784,60.560246519290835,0.001353242420251117,315,1,0.09473684210526323
058850,KTcs,kospi,2.78,090025,2.78,4630,4630,4035,4450,5260,5220,5100,4920,4755,4545,4425,4295,4130,22735952,55159108,12969800,5284814,3165902,3401008,2804278,3624507,2159075,5378154,3161865,2.78,6238829.555555556,3161865,-0.49319580350060677,0.0011826328513397867,0,0,0.0
073240,금호타이어,kospi,2.85,090023,2.85,3450,3470,3220,3270,3250,3150,3165,3175,3120,3165,3100,3190,3220,284102,238232,307882,337913,271902,235559,363448,289696,335581,1897750,1474676,2.85,266753.5,1474676,4.528234868520938,0.0012650260627951847,20,1,0.005797101449275255
101140,인바이오젠,kospi,3.28,090010,3.28,609,659,730,718,725,721,609,555,562,545,545,539,508,308689,376277,223685,371348,2518635,2748068,801523,1079373,482505,657137,2372574,3.28,455488.5,2372574,4.20885598648484,0.005175676610783218,50,1,0.08210180623973717
139320,TIGER 금은선물(H),kospi,2.17,090030,2.17,9640,9640,9100,9135,9200,9185,9225,9235,9065,9045,9105,9350,9545,1654,490,987,1209,2894,1537,2702,423,1329,17724,26870,2.17,1469.4444444444443,26870,17.285822306238188,0.0004955050309747063,0,0,0.0
