stock_code,stock_name,stock_class,gap_per,gap_hour,gap_int,stck_oprc,stck_hgpr,stck_lwpr_D_10,stck_lwpr_D_9,stck_lwpr_D_8,stck_lwpr_D_7,stck_lwpr_D_6,stck_lwpr_D_5,stck_lwpr_D_4,stck_lwpr_D_3,stck_lwpr_D_2,stck_lwpr_D_1,stck_lwpr_D_0,acml_vol_D_10,acml_vol_D_9,acml_vol_D_8,acml_vol_D_7,acml_vol_D_6,acml_vol_D_5,acml_vol_D_4,acml_vol_D_3,acml_vol_D_2,acml_vol_D_1,acml_vol_D_0,gap_change,mean_vlome,today_vlome,volume_change,slope,day_change,deter_change,day_change_per
001940,KISCO홀딩스,kospi,2.38,090019,2.38,21500.0,21500.0,20900.0,21300.0,21350.0,20450.0,20900.0,20350.0,19600.0,20000.0,20400.0,20800.0,20450.0,17090.0,67050.0,250476.0,79781.0,27993.0,18445.0,59051.0,22227.0,10429.0,35456.0,26037.0,2.38,35835.11111111111,26037,-0.27342209378759497,0.0002074914703270601,0.0,0,0.0
005950,이수화학,kospi,8.18,090030,8.18,41350.0,50700.0,30050.0,28000.0,31800.0,30350.0,32300.0,31050.0,30550.0,29450.0,32800.0,37500.0,41350.0,4235705.0,3838386.0,3008994.0,2600308.0,1877152.0,1602613.0,1329120.0,1520603.0,8123886.0,3774974.0,11121835.0,8.18,2228247.888888889,11121835,3.9912916132261564,3.9355603059100526e-05,9350.0,1,0.22611850060459493
007280,한국특강,kospi,2.47,090017,2.47,2075.0,2075.0,2030.0,2025.0,1999.0,1950.0,2035.0,2045.0,2030.0,2045.0,1975.0,2020.0,2020.0,54207.0,20758.0,27579.0,109449.0,106674.0,23101.0,77881.0,46035.0,25538.0,49983.0,27416.0,2.47,49324.2,27416,-0.44416736612048446,0.002368776352926271,0.0,0,0.0
007980,태평양물산,kospi,2.83,090023,2.83,1560.0,1589.0,1653.0,1575.0,1542.0,1485.0,1506.0,1460.0,1496.0,1544.0,1542.0,1517.0,1525.0,232052.0,564323.0,465089.0,590142.0,198549.0,322972.0,192696.0,147969.0,112648.0,266895.0,436798.0,2.83,282796.5,436798,0.5445664992317798,0.002731196470723508,29.0,1,0.018589743589743524
037560,LG헬로비전,kospi,8.80,090029,8.8,4505.0,4610.0,4485.0,4475.0,4305.0,4135.0,4145.0,4050.0,4105.0,4045.0,4080.0,4070.0,4200.0,126550.0,205845.0,241543.0,313904.0,133381.0,158536.0,310802.0,190164.0,151183.0,203612.0,1939387.0,8.8,183610.8,1939387,9.56248869892185,0.0008850399175469638,105.0,1,0.023307436182020025
114470,KOSEF 국고채3년,kospi,2.23,090030,2.23,111000.0,111000.0,106860.0,107365.0,107500.0,108245.0,107950.0,108250.0,108100.0,108255.0,108485.0,108440.0,108615.0,7.0,208.0,154.0,97.0,347.0,20.0,31.0,55.0,47.0,344.0,383.0,2.23,107.33333333333333,383,2.56832298136646,4.443344846911856e-05,0.0,0,0.0
267490,KBSTAR 미국장기국채선물레버리지(합성 H),kospi,3.59,090004,3.59,8070.0,8070.0,7140.0,7155.0,7405.0,7700.0,7535.0,7820.0,7720.0,7730.0,7785.0,7690.0,7865.0,12022.0,16548.0,60253.0,33015.0,22854.0,20788.0,15409.0,19954.0,11321.0,9059.0,20518.0,3.59,17752.88888888889,20518,0.15575555778089312,0.0006289779669289113,0.0,0,0.0
282330,BGF리테일,kospi,2.48,090002,2.48,182000.0,182000.0,181400.0,178000.0,177000.0,176400.0,175000.0,173200.0,174200.0,174000.0,174300.0,176900.0,177500.0,30079.0,31366.0,22741.0,27101.0,24262.0,21352.0,25847.0,12819.0,25733.0,17249.0,18435.0,2.48,24588.88888888889,18435,-0.25027112516945327,2.5522320044096487e-05,0.0,0,0.0
298020,효성티앤씨,kospi,3.09,090020,3.09,434500.0,445000.0,428500.0,418000.0,410000.0,405500.0,405500.0,400500.0,415500.0,415500.0,418500.0,418500.0,432000.0,23620.0,27828.0,32410.0,22970.0,23993.0,43535.0,25914.0,24903.0,14058.0,18173.0,56660.0,3.09,24462.0,56660,1.3162456054288283,1.01392125583239e-05,10500.0,1,0.024165707710011475
301410,ARIRANG 코스닥150선물인버스,kospi,2.22,090026,2.22,7125.0,7125.0,7030.0,7205.0,7250.0,7220.0,7150.0,7140.0,7085.0,7060.0,7045.0,6965.0,6885.0,3727.0,14161.0,35929.0,29967.0,11224.0,9023.0,4767.0,4521.0,11346.0,3159.0,13661.0,2.22,8206.75,13661,0.664605355347732,0.0007022035564581068,0.0,0,0.0
334690,KBSTAR 팔라듐선물(H),kospi,3.19,090009,3.19,7930.0,7930.0,7415.0,7485.0,7515.0,7860.0,8190.0,7975.0,7810.0,7705.0,7710.0,7635.0,7870.0,19496.0,17807.0,16365.0,28765.0,8920.0,4466.0,10633.0,10605.0,833.0,4370.0,4026.0,3.19,12576.0,4026,-0.6798664122137404,0.000664392779449323,0.0,0,0.0
338100,NH프라임리츠,kospi,5.21,090008,5.21,4340.0,4340.0,4335.0,4320.0,4160.0,4175.0,4195.0,4150.0,4190.0,4130.0,4135.0,4120.0,4110.0,609.0,1887.0,23708.0,9178.0,8207.0,10236.0,10870.0,16177.0,18073.0,25619.0,16234.0,5.21,10305.5,16234,0.5752753384115279,0.0010768240254770043,0.0,0,0.0
411060,ACE KRX금현물,kospi,2.10,090022,2.1,11905.0,11905.0,11020.0,11095.0,11200.0,11375.0,11320.0,11400.0,11450.0,11610.0,11775.0,11600.0,11645.0,27582.0,32665.0,104658.0,129229.0,92437.0,96839.0,55691.0,157001.0,85406.0,107344.0,81403.0,2.1,79315.3,81403,0.0263215293896637,0.0004145893862315275,0.0,0,0.0
429980,SOL 한국형글로벌전기차&2차전지액티브,kospi,3.03,090030,3.03,10195.0,10195.0,9840.0,9675.0,9610.0,9420.0,9590.0,9545.0,9565.0,9490.0,9500.0,9720.0,9760.0,1475.0,2757.0,1539.0,1722.0,2741.0,1909.0,2254.0,1997.0,3403.0,1959.0,6718.0,3.03,2199.6666666666665,6718,2.0540991059251406,0.00044902113563450593,0.0,0,0.0
452250,ACE 미국30년국채선물레버리지(합성 H),kospi,2.04,090029,2.04,9490.0,9490.0,8630.0,8805.0,9040.0,9385.0,9045.0,9490.0,9270.0,9430.0,9425.0,9255.0,9390.0,156516.0,187824.0,129536.0,105175.0,199307.0,217152.0,170627.0,177691.0,181876.0,194985.0,186455.0,2.04,153509.4,186455,0.21461617334182792,0.0005457113232437142,0.0,0,0.0
J01957229,리더스 기술투자 9WR,kospi,4.00,090030,4.0,130.0,130.0,130.0,128.0,127.0,118.0,125.0,120.0,125.0,124.0,120.0,120.0,118.0,118356.0,177756.0,36154.0,82263.0,19099.0,23501.0,19017.0,37864.0,269716.0,231875.0,46208.0,4.0,57125.333333333336,46208,-0.19111194099523854,0.035376050746334875,0.0,0,0.0
J1806421A,한진칼 3WR,kospi,14.27,090030,14.27,985.0,985.0,1006.0,1150.0,1006.0,1267.0,1206.0,1001.0,980.0,985.0,855.0,850.0,686.0,126225.0,43151.0,73024.0,41227.0,72207.0,55852.0,43462.0,18875.0,30094.0,17355.0,121248.0,14.27,42064.22222222222,121248,1.882449587667535,0.0048257912336589735,0.0,0,0.0
Q500057,신한 인버스 2X Russell 2000 ETN,kospi,4.66,090019,4.66,8655.0,8665.0,7530.0,8030.0,7985.0,8490.0,8190.0,8490.0,8325.0,8490.0,8490.0,8245.0,8405.0,182.0,1637.0,4119.0,5458.0,2336.0,15416.0,7863.0,11780.0,2774.0,2362.0,1227.0,4.66,5997.0,1227,-0.7953976988494247,0.0005938374468033591,10.0,1,0.0011554015020218689
