date,url,comment
2020.03.02,http://www.fantastock.co.kr/bbs/board.php?bo_table=free_list20&wr_id=5260&page=15#section1,▶ 현재시간 9시 04분 sv인베스트먼트 현재가 2570원 기준 매수!!   
2020.03.02,http://www.fantastock.co.kr/bbs/board.php?bo_table=free_list20&wr_id=5260&page=15#section1,▶ 현재시간 9시 05분 메가엠디 현재가 5100원 기준 매수!!    
2020.02.28,http://www.fantastock.co.kr/bbs/board.php?bo_table=free_list20&wr_id=5130&page=15#section1,▶ 현재시간 9시 00분 프로스테믹스 현재가 4010원 기준 매수!!     
2020.02.28,http://www.fantastock.co.kr/bbs/board.php?bo_table=free_list20&wr_id=5130&page=15#section1,▶ 현재시간 9시 02분 피씨엘 현재가 11600원 기준 매수!!      
2020.02.27,http://www.fantastock.co.kr/bbs/board.php?bo_table=free_list20&wr_id=5006&page=15#section1,▶ 현재시간 9시 00분 푸드나무 현재가 21600원 기준 매수!!    
2020.02.27,http://www.fantastock.co.kr/bbs/board.php?bo_table=free_list20&wr_id=5006&page=15#section1,▶ 현재시간 9시 01분 엔텔스 현재가 10900원 기준 매수!!     
2020.02.27,http://www.fantastock.co.kr/bbs/board.php?bo_table=free_list20&wr_id=5006&page=15#section1,▶ 현재시간 9시 02분 비씨월드제약 현재가 21100원 기준 매수!!      
2020.02.26,http://www.fantastock.co.kr/bbs/board.php?bo_table=free_list20&wr_id=4882&page=15#section1,▶ 현재시간 9시 00분 오상자이엘 현재가 6810원 기준 매수!!    
2020.02.26,http://www.fantastock.co.kr/bbs/board.php?bo_table=free_list20&wr_id=4882&page=15#section1,▶ 현재시간 9시 04분 아이스크림에듀 현재가 11400원 기준 매수!!  
2020.02.26,http://www.fantastock.co.kr/bbs/board.php?bo_table=free_list20&wr_id=4882&page=15#section1,▶ 현재시간 9시 05분 사조오양 현재가 9470원 기준 매수!!   
2020.02.25,http://www.fantastock.co.kr/bbs/board.php?bo_table=free_list20&wr_id=4762&page=15#section1,▶ 현재시간 9시 00분 오상자이엘 현재가 6300원 기준 매수!!       
2020.02.25,http://www.fantastock.co.kr/bbs/board.php?bo_table=free_list20&wr_id=4762&page=15#section1,▶ 현재시간 9시 01분 우정바이오 현재가 8920원 기준 매수!!   
2020.02.25,http://www.fantastock.co.kr/bbs/board.php?bo_table=free_list20&wr_id=4762&page=15#section1,▶ 현재시간 9시 04분 삼보판지 현재가 10000원 기준 매수!!    
2020.02.24,http://www.fantastock.co.kr/bbs/board.php?bo_table=free_list20&wr_id=4632&page=15#section1,▶ 현재시간 9시 00분 진매트릭스 현재가 3470원 기준 매수!!       
2020.02.24,http://www.fantastock.co.kr/bbs/board.php?bo_table=free_list20&wr_id=4632&page=15#section1,▶ 현재시간 9시 01분 태림포장 현재가 4970원 기준 매수!!     
2020.02.24,http://www.fantastock.co.kr/bbs/board.php?bo_table=free_list20&wr_id=4632&page=15#section1,▶ 현재시간 9시 03분 진원생명과학 현재가 5620원 기준 매수!!    
2020.02.21,http://www.fantastock.co.kr/bbs/board.php?bo_table=free_list20&wr_id=4510&page=15#section1,▶ 현재시간 9시 00분 파루 현재가 4030원 기준 매수!!      
2020.02.21,http://www.fantastock.co.kr/bbs/board.php?bo_table=free_list20&wr_id=4510&page=15#section1,▶ 현재시간 9시 01분 백광산업 현재가 4140원 기준 매수!!   
2020.02.21,http://www.fantastock.co.kr/bbs/board.php?bo_table=free_list20&wr_id=4510&page=15#section1,▶ 현재시간 9시 02분 아이스크림에듀 현재가 10950원 기준 매수!!    
2020.02.20,http://www.fantastock.co.kr/bbs/board.php?bo_table=free_list20&wr_id=4377&page=15#section1,▶ 현재시간 9시 01분 웰크론 현재가 8300원 기준 매수!!       
2020.02.20,http://www.fantastock.co.kr/bbs/board.php?bo_table=free_list20&wr_id=4377&page=15#section1,▶ 현재시간 9시 02분 신풍제약우 현재가 18000원 기준 매수!!    
2020.02.20,http://www.fantastock.co.kr/bbs/board.php?bo_table=free_list20&wr_id=4377&page=15#section1,▶ 현재시간 9시 03분 누리플랜 현재가 7100원 기준 매수!!    
2020.02.20,http://www.fantastock.co.kr/bbs/board.php?bo_table=free_list20&wr_id=4377&page=15#section1,▶ 현재시간 9시 04분 캠시스 현재가 3830원 기준 매수!!     
2020.02.19,http://www.fantastock.co.kr/bbs/board.php?bo_table=free_list20&wr_id=4255&page=15#section1,▶ 현재시간 9시 01분 제낙스 현재가 6700원 기준 매수!!      
2020.02.19,http://www.fantastock.co.kr/bbs/board.php?bo_table=free_list20&wr_id=4255&page=15#section1,▶ 현재시간 9시 04분 일신바이오 현재가 2430원 기준 매수!!  
2020.02.19,http://www.fantastock.co.kr/bbs/board.php?bo_table=free_list20&wr_id=4255&page=15#section1,▶ 현재시간 9시 07분 까뮤이앤씨 현재가 1495원 기준 매수!!   
2020.02.19,http://www.fantastock.co.kr/bbs/board.php?bo_table=free_list20&wr_id=4255&page=15#section1,▶ 현재시간 9시 09분 한국바이오젠 현재가 7970원 기준 매수!!    
