stock_code,stock_name,gap_per,gap_hour,gap_int
001390,KG케미칼,2.98,090422,2.98
001470,삼부토건,3.65,090526,3.65
001515,SK증권우,2.10,090030,2.1
001570,금양,2.94,090527,2.94
002020,코오롱,3.02,090412,3.02
002070,비비안,2.04,090458,2.04
002410,범양건영,3.24,090423,3.24
002785,진흥기업우B,2.98,090030,2.98
003120,일성신약,2.20,090435,2.2
003580,HLB글로벌,4.35,090407,4.35
004105,태양금속우,2.82,090030,2.82
005850,에스엘,2.44,090457,2.44
005950,이수화학,7.65,090526,7.65
006405,삼성SDI우,2.00,090030,2.0
006490,인스코비,3.13,090035,3.13
007660,이수페타시스,2.41,090526,2.41
00806K,대덕1우,2.03,090030,2.03
008350,남선알미늄,3.00,090523,3.0
008355,남선알미우,8.21,090006,8.21
009200,무림페이퍼,20.87,090528,20.87
009580,무림P&P,3.20,090504,3.2
009900,명신산업,3.54,090458,3.54
010690,화신,2.11,090344,2.11
010780,아이에스동서,6.43,090527,6.43
011500,한농화성,5.24,090415,5.24
012030,DB,4.71,090525,4.71
012170,아센디오,2.51,090030,2.51
020120,키다리스튜디오,2.41,090434,2.41
023800,인지컨트롤스,3.58,090502,3.58
032350,롯데관광개발,2.82,090524,2.82
03473K,SK우,2.05,090030,2.05
044380,주연테크,4.89,090405,4.89
058650,세아홀딩스,2.50,090224,2.5
060980,HL홀딩스,4.60,090502,4.6
084680,이월드,3.18,090403,3.18
085310,엔케이,2.02,090030,2.02
090370,메타랩스,3.76,090017,3.76
092220,KEC,3.82,090528,3.82
102280,쌍방울,9.73,090344,9.73
138040,메리츠금융지주,2.18,090445,2.18
204210,모두투어리츠,3.15,090030,3.15
219900,ACE 중국본토CSI300레버리지(합성),2.44,090030,2.44
225050,TIGER 유로스탁스레버리지(합성 H),2.21,090030,2.21
233160,TIGER 코스닥150 레버리지,2.47,090337,2.47
261070,TIGER 코스닥150바이오테크,2.09,090027,2.09
286940,롯데정보통신,2.09,090455,2.09
308170,센트랄모텍,11.59,090402,11.59
322000,현대에너지솔루션,2.20,090432,2.2
334690,KBSTAR 팔라듐선물(H),3.23,090018,3.23
353200,대덕전자,2.90,090507,2.9
371150,KBSTAR 차이나항셍테크,2.10,090058,2.1
371870,ACE 차이나항셍테크,2.20,090030,2.2
373220,LG에너지솔루션,2.56,090517,2.56
377300,카카오페이,2.13,090444,2.13
387280,TIGER 퓨처모빌리티액티브,3.31,090030,3.31
396520,TIGER 차이나반도체FACTSET,2.62,090030,2.62
400570,KODEX 유럽탄소배출권선물ICE(H),2.23,090028,2.23
400580,SOL 유럽탄소배출권선물S&P(H),2.10,090030,2.1
412570,TIGER KRX2차전지K-뉴딜레버리지,2.09,090025,2.09
415920,ARIRANG 글로벌희토류전략자원기업MV,3.62,090023,3.62
429980,SOL 한국형글로벌전기차&2차전지액티브,4.31,090022,4.31
446070,유니드비티플러스,4.92,090439,4.92
447770,TIGER 테슬라채권혼합Fn,2.46,090015,2.46
45014K,코오롱모빌리티그룹우,2.12,090404,2.12
451150,에셋플러스 글로벌영에이지액티브,2.70,090328,2.7
950210,프레스티지바이오파마,4.19,090510,4.19
J00121218,금호전기 31WR,27.12,090026,27.12
J0113321D,유니켐 38WR,2.08,090001,2.08
J01957229,리더스 기술투자 9WR,4.93,090019,4.93
J0234421A,제이스코홀딩스 2WR,3.12,090005,3.12
J0673921B,아스트 9WR,4.90,090035,4.9
J1806421A,한진칼 3WR,11.49,090045,11.49
J21433218,금호에이치티 1WR,23.00,090505,23.0
J2901221A,대유에이피 3WR,10.76,090030,10.76
Q500073,신한 블룸버그 2X 천연가스 선물 ETN(H),6.98,090231,6.98
Q500001,신한 K200 USD 선물 바이셀 ETN,4.04,090129,4.04
Q500040,신한 레버리지 구리 선물 ETN,2.43,090005,2.43
Q510016,대신 천연가스 선물 ETN(H),2.94,090024,2.94
Q510028,대신 S&P 2X 천연가스 선물 ETN,4.81,090030,4.81
Q520039,미래에셋 코스닥150 선물 ETN,2.04,090118,2.04
Q520052,미래에셋 천연가스 선물 ETN(H),3.73,090022,3.73
Q520058,미래에셋 S&P 2X 천연가스 선물 ETN(H),7.84,090030,7.84
Q530068,삼성 레버리지 천연가스 선물 ETN B,5.69,090435,5.69
Q530088,삼성 레버리지 KRX 2차전지 K-뉴딜 ETN,2.91,090004,2.91
Q530063,삼성 레버리지 구리 선물 ETN(H),2.79,090013,2.79
Q550068,QV 코스닥 150 ETN,2.30,090052,2.3
Q550074,QV 블룸버그 2X 천연가스 선물 ETN(H),9.38,090030,9.38
Q570045,TRUE 레버리지 천연가스 선물 ETN(H),6.75,090313,6.75
Q570054,TRUE 레버리지 유로스탁스50 ETN(H) B,2.19,090030,2.19
Q570068,TRUE 코스닥 150 ETN,2.21,090015,2.21
Q570069,TRUE 레버리지 플래티넘 선물 ETN,6.46,090028,6.46
Q570072,TRUE 레버리지 구리 선물 ETN,2.30,090530,2.3
Q570083,TRUE 블룸버그 레버리지 천연가스 선물 ETN,6.88,090054,6.88
Q580020,KB 천연가스 선물 ETN(H),2.95,090212,2.95
Q580025,KB 레버리지 KRX 2차전지 K-뉴딜 ETN,2.18,090020,2.18
Q580032,KB 레버리지 구리 선물 ETN(H),2.86,090440,2.86
Q580045,KB 블룸버그 레버리지 천연가스선물 ETN(H),6.34,090349,6.34
Q610043,메리츠 천연가스 선물 ETN(H),3.88,090025,3.88
Q610053,메리츠 블룸버그 2X 천연가스 선물 ETN(H),7.61,090025,7.61
Q700017,하나 레버리지 코스닥150 선물 ETN,2.63,090412,2.63
Q700019,하나 블룸버그 2X 천연가스 선물 ETN(H),5.91,090000,5.91
900290,GRT,2.62,090026,2.62
001810,무림SP,9.94,090525,9.94
006050,국영지앤엠,4.61,090421,4.61
007390,네이처셀,2.93,090506,2.93
010470,오리콤,3.81,090502,3.81
024940,PN풍년,3.01,090430,3.01
025770,한국정보통신,3.07,090513,3.07
025900,동화기업,2.30,090404,2.3
032190,다우데이타,2.99,090448,2.99
032580,피델릭스,2.43,090332,2.43
032620,유비케어,2.97,090454,2.97
032685,소프트센우,2.15,090023,2.15
033200,모아텍,2.50,090029,2.5
035460,기산텔레콤,2.28,090433,2.28
035610,솔본,2.49,090454,2.49
038680,에스넷,2.43,090348,2.43
038950,파인디지털,2.07,090327,2.07
042600,새로닉스,5.95,090523,5.95
044180,KD,20.68,090528,20.68
045390,대아티아이,2.19,090345,2.19
046310,백금T&A,4.24,090529,4.24
047920,HLB제약,2.91,090441,2.91
049950,미래컴퍼니,6.47,090520,6.47
050120,ES큐브,2.17,090027,2.17
052220,iMBC,2.29,090138,2.29
052460,아이크래프트,2.24,090305,2.24
054210,이랜텍,2.00,090321,2.0
060150,인선이엔티,2.35,090446,2.35
060230,소니드,3.41,090520,3.41
064260,다날,2.94,090502,2.94
065370,위세아이텍,11.08,090309,11.08
065650,메디프론,5.30,090504,5.3
066970,엘앤에프,2.49,090523,2.49
071670,에이테크솔루션,2.09,090408,2.09
072470,우리산업홀딩스,2.88,090422,2.88
073110,엘엠에스,2.68,090104,2.68
078130,국일제지,2.10,090356,2.1
079970,투비소프트,3.34,090022,3.34
082920,비츠로셀,3.74,090425,3.74
083790,크리스탈지노믹스,3.02,090218,3.02
084440,유비온,2.73,090520,2.73
085370,루트로닉,4.82,090517,4.82
08537M,루트로닉3우C,12.58,090012,12.58
086960,MDS테크,3.61,090529,3.61
088390,이녹스,4.17,090433,4.17
089230,THE E&M,3.04,090223,3.04
090150,아이윈,3.09,090513,3.09
090360,로보스타,11.13,090529,11.13
090710,휴림로봇,3.52,090529,3.52
090850,현대이지웰,3.35,090255,3.35
091590,남화토건,6.06,090517,6.06
095500,미래나노텍,6.76,090530,6.76
099440,스맥,2.29,090458,2.29
099750,이지케어텍,3.32,090409,3.32
104480,티케이케미칼,2.75,090430,2.75
107600,새빗켐,2.29,090528,2.29
108230,톱텍,2.42,090348,2.42
111710,남화산업,3.51,090317,3.51
121850,코이즈,3.36,090402,3.36
130740,티피씨글로벌,4.23,090511,4.23
131290,티에스이,2.90,090327,2.9
140670,알에스오토메이션,3.36,090449,3.36
143540,영우디에스피,3.31,090457,3.31
151910,SBW생명과학,2.76,090453,2.76
160980,싸이맥스,3.33,090410,3.33
171090,선익시스템,4.20,090527,4.2
173130,오파스넷,2.76,090429,2.76
175250,아이큐어,12.22,090528,12.22
179290,엠아이텍,4.90,090529,4.9
187270,신화콘텍,2.10,090332,2.1
200470,에이팩트,2.66,090331,2.66
204620,글로벌텍스프리,3.45,090337,3.45
205470,휴마시스,2.09,090405,2.09
207760,미스터블루,3.57,090503,3.57
214260,라파스,2.70,090119,2.7
214270,FSN,2.21,090525,2.21
217480,에스디생명공학,2.77,090153,2.77
217820,원익피앤이,2.03,090447,2.03
220100,퓨쳐켐,4.44,090450,4.44
220180,핸디소프트,2.96,090409,2.96
222080,씨아이에스,2.03,090519,2.03
226360,KH 건설,2.60,090326,2.6
246710,티앤알바이오팹,29.13,090509,29.13
254490,미래반도체,10.35,090528,10.35
256940,케이피에스,2.65,090352,2.65
257720,실리콘투,4.01,090527,4.01
268600,셀리버리,4.90,090509,4.9
270520,지엔원에너지,3.49,090530,3.49
273060,와이즈버즈,3.85,090524,3.85
277070,린드먼아시아,2.83,090526,2.83
278280,천보,3.85,090508,3.85
284620,카이노스메드,2.67,090054,2.67
290520,신도기연,2.43,090516,2.43
290660,네오펙트,2.56,090139,2.56
291650,압타머사이언스,7.01,090459,7.01
294570,쿠콘,2.69,090428,2.69
298870,다올인베스트먼트,3.12,090518,3.12
304840,피플바이오,2.94,090410,2.94
310200,애니플러스,4.59,090522,4.59
310870,디와이씨,2.16,090146,2.16
317690,퀀타매트릭스,2.39,090304,2.39
317830,에스피시스템스,2.40,090438,2.4
323280,태성,2.02,090512,2.02
334970,프레스티지바이오로직스,2.29,090354,2.29
338220,뷰노,3.00,090447,3.0
340570,티앤엘,3.99,090516,3.99
348340,뉴로메카,9.03,090529,9.03
352910,오비고,14.81,090523,14.81
362320,청담글로벌,2.10,090440,2.1
363260,모비데이즈,4.06,090527,4.06
365340,성일하이텍,4.29,090528,4.29
368770,파이버프로,4.18,090524,4.18
372800,아이티아이즈,3.09,090451,3.09
373200,하인크코리아,2.32,090508,2.32
376930,노을,3.46,090142,3.46
377330,이지트로닉스,2.67,090430,2.67
382840,원준,2.93,090502,2.93
396270,넥스트칩,2.47,090504,2.47
408920,에스케이증권7호스팩,3.64,090504,3.64
417180,핑거스토리,5.33,090526,5.33
417840,저스템,6.96,090511,6.96
435870,에스케이증권제8호스팩,2.09,090026,2.09
