stock_code,stock_name,gap_per,gap_hour,gap_int,stck_oprc,stck_hgpr,stck_lwpr_D_10,stck_lwpr_D_9,stck_lwpr_D_8,stck_lwpr_D_7,stck_lwpr_D_6,stck_lwpr_D_5,stck_lwpr_D_4,stck_lwpr_D_3,stck_lwpr_D_2,stck_lwpr_D_1,stck_lwpr_D_0,acml_vol_D_10,acml_vol_D_9,acml_vol_D_8,acml_vol_D_7,acml_vol_D_6,acml_vol_D_5,acml_vol_D_4,acml_vol_D_3,acml_vol_D_2,acml_vol_D_1,acml_vol_D_0,gap_change,mean_vlome,today_vlome,volume_change,slope,day_change,deter_change
001745,SK네트웍스우,2.59,090027,2.59,51500,51500,49350,48300,48950,48000,49450,49050,49000,48950,48600,49000,50500,734,1273,485,520,396,741,1025,577,591,881,761,2.59,722.3,761,0.05357884535511559,-0.0015553233850460347,0,0
002420,세기상사,2.50,090028,2.5,7790,7790,7570,7580,7570,7470,7430,7560,7460,7510,7500,7520,7520,6772,3245,5963,6786,7867,2380,14154,2279,25416,2481,8895,2.5,5769.666666666667,8895,0.5416835172453636,-0.019091484424442782,0,0
002710,TCC스틸,5.05,090029,5.05,16130,16460,11660,11400,11430,11300,11840,12150,12340,13740,13800,14790,15160,453116,348583,210986,203281,629204,461058,1866670,1630031,4103803,1478979,2321332,5.05,809100.8888888889,2321332,1.8690266342282822,-0.0006811013690560387,330,1
003010,혜인,3.08,090027,3.08,7800,7800,7290,7220,7030,6860,6870,6830,6970,6960,7050,7110,7230,390385,288336,367848,306194,209071,227818,205345,227841,788818,1265495,1279602,3.08,277854.75,1279602,3.6052910738434383,-0.006947129424733288,0,0
003535,한화투자증권우,3.65,090023,3.65,5970,5970,6300,6260,6150,6140,6160,5960,5870,5920,5800,5760,5570,23044,7283,8529,3687,1228,17402,6848,5845,16305,5446,14587,3.65,9561.7,14587,0.5255655375090202,-0.007783251231526924,0,0
005070,코스모신소재,2.42,090025,2.42,106000,107200,70900,69000,70700,70900,73100,76000,78600,93100,94900,96900,94100,864758,667615,478921,703501,2179934,1675830,3247565,3029425,2091119,1275370,1411224,2.42,1621403.8,1411224,-0.1296282887705087,-6.950184930360796e-05,1200,1
006890,태경케미컬,5.34,090028,5.34,14880,14880,12470,12550,12450,12500,12770,13000,13210,13530,13560,13750,13400,46781,49028,71815,31467,78746,63563,150011,82115,91602,78282,370524,5.34,65933.22222222222,370524,4.619685911166012,-0.0012830729597385745,0,0
007660,이수페타시스,3.82,090028,3.82,8970,9440,7710,8040,8300,8980,9060,8680,8730,8750,8790,8520,8860,1877198,5985347,46983072,17932772,10103248,5947202,4716910,5829223,4052588,2382907,13369858,3.82,5111827.875,13369858,1.6154749977766025,0.0003421742251005723,470,1
008700,아남전자,2.54,090012,2.54,2425,2475,2325,2330,2350,2300,2310,2340,2365,2430,2380,2350,2325,2072855,3378750,1897783,1041005,2921060,1298583,3821135,2502060,1620005,795026,2212271,2.54,2134826.2,2212271,0.03627686413067255,-0.012317666126417935,50,1
009415,태영건설우,5.03,090030,5.03,7100,7100,7200,7280,7050,7100,6980,6900,6800,6800,6750,6760,6710,1352,151,1439,1602,661,1486,1790,850,1894,1796,2298,5.03,1302.1,2298,0.7648414100299517,-0.01543010056541065,0,0
