stock_code,stock_name,gap_per,gap_hour,gap_int,stck_oprc,stck_hgpr,stck_lwpr_D_10,stck_lwpr_D_9,stck_lwpr_D_8,stck_lwpr_D_7,stck_lwpr_D_6,stck_lwpr_D_5,stck_lwpr_D_4,stck_lwpr_D_3,stck_lwpr_D_2,stck_lwpr_D_1,stck_lwpr_D_0,acml_vol_D_10,acml_vol_D_9,acml_vol_D_8,acml_vol_D_7,acml_vol_D_6,acml_vol_D_5,acml_vol_D_4,acml_vol_D_3,acml_vol_D_2,acml_vol_D_1,acml_vol_D_0,gap_change,mean_vlome,today_vlome,volume_change,slope,day_change,deter_change
009440,KC그린홀딩스,4.07,090030,4.07,3455,3500,3055,3030,3010,2990,3045,3120,3110,3100,3180,3225,3310,35433,25794,29722,88913,172628,49981,31224,49118,321091,328998,287833,4.07,113290.2,287833,1.5406698902464644,-0.009308654961972283,45,1
009470,삼화전기,2.36,090003,2.36,17800,17800,15380,15300,15790,15260,15340,15770,15500,15770,16800,16760,16580,5695,24244,11266,8697,16777,13369,7839,140256,33590,28313,32043,2.36,16643.333333333332,32043,0.9252753855397557,-0.0018804938430008237,0,0
010690,화신,2.67,090026,2.67,10350,12430,8720,8890,9110,8900,9040,9310,9640,9700,9690,9590,10330,243444,1183624,597438,401760,708620,1158433,503629,472250,286321,3279592,11643187,2.67,617279.8888888889,11643187,17.862087052532807,-0.0010096928695389432,2080,1
011930,신성이엔지,4.87,090024,4.87,1820,1830,1710,1708,1678,1654,1680,1683,1681,1686,1705,1730,1753,882808,617066,815214,573969,343174,671814,470485,762477,1314373,1937595,3036502,4.87,642125.875,3036502,3.728826727314173,-0.03706127305175498,10,1
012320,경동인베스트,8.15,090030,8.15,121200,123400,81800,83500,87200,89700,86500,82800,82700,81100,81100,97500,103100,169283,93437,104554,95437,58102,55223,21317,27873,145698,688728,610693,8.15,85658.22222222222,610693,6.129414832071644,-0.00013313396030902838,2200,1
014580,태경비케이,3.68,090029,3.68,7290,7570,5310,5360,5300,5200,5250,5370,5570,5940,6130,6450,6910,382392,245028,292956,204950,429615,2033249,5092531,2773136,3669502,10447987,4335967,3.68,1680373.2222222222,4335967,1.5803594955327052,-0.0018895490966402274,280,1
052690,한전기술,2.48,090026,2.48,70700,79900,62700,62500,63700,62900,63200,63100,63800,64100,64100,63400,69500,85445,90348,163480,64183,65154,94770,113415,185334,139784,716330,2742169,2.48,111323.66666666667,2742169,23.632399220291582,-0.0003048207913783387,9200,1
069640,한세엠케이,3.27,090013,3.27,3000,3000,2610,2660,2650,2675,2660,2635,2635,2650,2670,2770,2860,3017,5888,3947,9699,5595,7750,6833,5643,302641,40769,19104,3.27,6046.5,19104,2.1595137682957084,-0.01372876119864076,0,0
103140,풍산,2.71,090014,2.71,38050,39250,36050,36250,35450,35600,35550,37000,37950,37200,36750,36450,37500,526150,219780,175356,239282,257966,1134834,408408,519333,272527,220291,456530,2.71,315454.77777777775,456530,0.4472121906538462,-0.00047239294966220323,1200,1
119650,KC코트렐,5.53,090029,5.53,2440,2470,1735,1770,1665,1738,1775,1773,1791,1802,1877,1940,2080,377908,180226,335970,198296,284517,286436,239585,147805,2698537,6880156,4525197,5.53,256342.875,4525197,16.65290726336747,-0.006424453594468273,30,1
189400,ARIRANG 글로벌MSCI(합성 H),2.09,090030,2.09,15390,15390,15195,14960,14965,14900,14955,14900,15055,15215,15130,14920,15060,4,975,62,245,129,458,161,102,278,62,39,2.09,166.77777777777777,39,-0.7661558960692871,-0.008276331204414076,0,0
256750,KODEX 차이나심천ChiNext(합성),2.91,090011,2.91,10955,10955,10965,10915,10835,10750,10870,10925,10810,10680,10620,10575,10610,8763,22268,26450,7694,5410,2250,9472,6951,6389,3822,3013,2.91,6343.875,3013,-0.5250536935232804,-0.02336001911817415,0,0
291890,KODEX MSCI EM선물(H),2.16,090030,2.16,7820,7820,7800,7795,7765,7535,7610,7685,7770,7780,7920,7655,7725,686,3487,504,54177,5188,15016,771,1866,157,233,35,2.16,1611.5,35,-0.9782811045609681,-0.012254321572341565,0,0
302190,TIGER 중장기국채,2.17,090030,2.17,48995,48995,47960,48040,48290,48185,47835,47610,47540,47940,47920,47865,47850,4753,3228,2472,4656,3366,2332,3125,3376,5257,15120,10056,2.17,3618.3333333333335,10056,1.7791801013357897,-0.0048091745589238215,0,0
322000,현대에너지솔루션,4.07,090026,4.07,56500,57300,49150,48050,49250,47100,48300,51500,53100,51300,52400,54100,54200,172173,207608,93079,195485,97431,673071,546912,330860,875249,821521,444823,4.07,401338.9,444823,0.10834758355095908,-0.00029361340678498837,800,1
334700,KBSTAR 팔라듐선물인버스(H),2.53,090030,2.53,5470,5470,4800,4995,5130,5240,5115,5055,5050,5065,5110,5300,5380,5246,367,1060,2518,1051,2812,105,1034,939,7042,1831,2.53,1681.3333333333333,1831,0.08901665344964327,-0.006267968608355561,0,0
365780,ACE 국고채10년,2.62,090030,2.62,87410,87410,85250,85410,86050,85770,84885,84280,84050,85120,85100,85100,84910,2132,4298,4737,1840,2761,3577,4500,2490,1381,2519,2004,2.62,3023.5,2004,-0.33719199603108985,-0.002151217446887669,0,0
375500,DL이앤씨,4.28,090024,4.28,34000,34450,34400,34350,34200,33200,32900,32800,32750,32650,32550,32400,33350,191685,152287,173721,159942,178929,175583,115088,164995,170981,159316,378699,4.28,164252.7,378699,1.305587670704956,-0.0034946738927303217,450,1
37550K,DL이앤씨우,2.63,090030,2.63,21500,21850,22150,22150,20650,21350,21350,21150,21050,21000,21000,20750,21300,2821,3854,12080,3920,3173,5747,2060,2177,4401,2953,5016,2.63,3456.222222222222,5016,0.4512955699864978,-0.0037399821905609505,350,1
37550L,DL이앤씨2우(전환),2.55,090028,2.55,24100,24300,24950,24950,24100,23400,23700,23550,23550,23400,23250,23300,23950,4293,2977,3447,2224,2188,4263,2032,2059,2517,1776,3389,2.55,2777.6,3389,0.22011808755760365,-0.0036741214057507813,200,1
381180,TIGER 미국필라델피아반도체나스닥,2.20,090016,2.2,10695,10715,10100,10235,10340,10325,10400,10290,10315,10450,10410,10390,10665,984480,896526,659120,709964,494842,772141,806043,1347110,966291,899610,1466410,2.2,798779.6666666666,1466410,0.8358128795633675,-0.005372667773761794,20,1
38380K,LX홀딩스1우,4.28,090021,4.28,11460,11460,11000,11120,11110,10850,10960,10960,11090,11070,10800,10920,10800,2412,751,1048,2406,702,1212,110,9196,5113,562,960,4.28,1150.375,960,-0.16548951428881886,-0.009468474284484663,0,0
419430,KODEX 차이나2차전지MSCI(합성),3.03,090024,3.03,8340,8340,8365,8375,8310,8195,8220,8255,8195,7995,8080,8070,8085,11286,23860,33028,66488,23379,30207,47862,42943,27775,43303,10030,3.03,35013.1,10030,-0.7135357908896955,-0.02190420560747657,0,0
423920,TIGER 미국필라델피아반도체레버리지(합성),4.18,090006,4.18,9580,9680,8685,8860,8955,8960,9140,8940,8985,9190,9150,9145,9575,119118,178555,144543,159661,153738,185272,29163,180864,245846,68503,165642,4.18,146526.3,165642,0.13045917354085934,-0.0035310555061602955,100,1
J00121218,금호전기 31WR,18.64,090025,18.64,70,70,68,66,61,52,58,59,42,54,55,53,57,21465,28423,27086,304983,46396,140069,213069,26650,17619,12205,5344,18.64,59220.22222222222,5344,-0.9097605547654517,-0.2863013698630138,0,0
J0234421A,제이스코홀딩스 2WR,8.29,090030,8.29,888,888,253,579,517,633,573,568,636,561,561,801,798,401,30023,8343,17073,17397,2087,4745,1544,54533,14574,25996,8.29,10687.444444444445,25996,1.4323869129924,-0.005084386743190541,0,0
J04963229,재영솔루텍 11WR,3.39,090030,3.39,244,244,229,230,230,225,230,231,234,236,234,230,231,32208,61971,50265,69395,1299,22899,29508,152037,28900,44995,55430,3.39,37937.77777777778,55430,0.4610766166822866,-0.18917426125379713,0,0
J0543021A,팬스타엔터프라이즈 22WR,2.34,090030,2.34,262,262,252,250,241,245,241,243,253,250,259,246,248,1,149,31,9,11157,9505,2131,42514,23576,16649,20214,2.34,7023.111111111111,20214,1.8782116187824327,-0.22257403613335847,0,0
J1806421A,한진칼 3WR,17.46,090030,17.46,1339,1360,518,553,730,1023,1397,1067,1201,1188,994,860,1006,39921,84016,164714,63939,13421,20477,26069,51000,66438,94528,126225,17.46,51089.88888888889,126225,1.4706454201635895,0.0015906946519387637,21,1
J2901221A,대유에이피 3WR,22.04,090013,22.04,299,299,254,262,292,288,298,295,276,271,254,240,235,91393,26708,6631,12398,12379,22934,42157,7764,30037,9118,160098,22.04,18902.88888888889,160098,7.469499077154579,-0.021134774833360084,0,0
Q500066,신한 블룸버그 인버스 2X WTI원유 선물 ETN,2.16,090030,2.16,21005,21110,21035,22065,21110,20890,21520,20290,20055,19260,18615,20415,20955,28531,99866,149293,10555,11762,43280,132172,113255,27662,96827,38479,2.16,71320.3,38479,-0.4604761898085118,-0.002563786140710447,105,1
Q500074,신한 블룸버그 -2X 천연가스 선물 ETN(H),5.13,090027,5.13,51735,52200,84235,75545,64245,57610,52015,49200,49100,48655,51905,49090,49860,4598,3706,6392,8706,7908,6109,1098,8869,5923,6478,3043,5.13,5978.7,3043,-0.4910264773278472,-0.00010889089032492316,465,1
Q500040,신한 레버리지 구리 선물 ETN,2.16,090006,2.16,19125,19165,20245,19945,19100,18380,18850,20045,19410,18945,19220,18465,19010,350,1319,271,277,239,1139,1120,127,1494,1062,219,2.16,739.8,219,-0.7039740470397404,-0.0007829592350918522,40,1
Q510019,대신 인버스 천연가스 선물 ETN(H),2.18,090030,2.18,6095,6145,7590,7200,6680,6265,6040,5860,5845,5870,6095,5960,6015,61090,11208,7241,10156,59886,145736,23250,45435,9121,3814,5266,2.18,25689.0,5266,-0.7950095371559811,-0.0025226310421326203,50,1
Q520047,미래에셋 인버스 2X 옥수수 선물 ETN,4.45,090030,4.45,14440,14440,11985,12110,12495,13160,13400,13580,13725,13445,13505,13795,14245,1142,1030,13501,5087,8771,14251,2722,3611,1234,981,1259,4.45,5233.0,1259,-0.7594114274794572,-0.00010825160958944345,0,0
Q520050,미래에셋 인버스 2X 원유선물혼합 ETN(H),2.23,090017,2.23,19000,19050,19095,20005,19270,18900,19235,18450,18300,17800,17250,18280,18910,41386,45770,2234,20638,4456,3479,4890,22415,25492,27005,23610,2.23,19776.5,23610,0.1938411751321012,-0.0033143900080689534,50,1
Q520062,미래에셋 인도네시아 금속&에너지 Top5 ETN,7.13,090030,7.13,9765,9765,9430,9275,9285,9560,9635,9895,9660,9485,9370,9115,9170,3406,3326,3219,53069,3259,24153,190,662,538,140,105,7.13,1842.5,105,-0.9430122116689281,0.0005464516004603354,0,0
Q530100,삼성 블룸버그 인버스 2X WTI원유 선물 ETN,2.28,090022,2.28,21065,21120,21000,22045,21115,20885,21500,20330,20085,19315,18640,20000,20950,38547,145862,26098,102877,54244,99927,69427,131754,86130,212027,123083,2.28,96689.3,123083,0.27297436220967564,-0.002673786654382968,55,1
Q530102,삼성 인버스 2X 천연가스 선물 ETN C,4.95,090017,4.95,51775,51895,83090,73890,63150,57285,52245,48830,48370,47580,51040,49105,50000,136130,134504,98330,129592,167120,82967,49743,99045,195485,63991,47597,4.95,115690.7,47597,-0.5885840434883702,-0.00011683747261850718,120,1
Q530036,삼성 인버스 2X WTI원유 선물 ETN,3.70,090028,3.7,140,145,140,145,140,140,140,135,135,130,125,135,140,7845862,97015568,5923474,24578068,18134800,3242685,2606192,26771288,39529388,8334967,17117156,3.7,15218524.888888888,17117156,0.12475789374943358,-0.5263157894736816,5,1
Q530063,삼성 레버리지 구리 선물 ETN(H),2.32,090004,2.32,15435,15470,16525,16325,15615,14800,15200,16180,15755,15550,15730,14920,15290,5296,715,5407,28287,4654,11969,6111,2195,43497,29221,9968,2.32,13735.2,9968,-0.2742733997320753,-0.0005734623110033922,35,1
Q570046,TRUE 인버스 2X 천연가스 선물 ETN(H),5.07,090017,5.07,1140,1145,1850,1660,1410,1265,1150,1085,1080,1065,1140,1080,1100,1825928,1114880,1838880,2602550,2871776,1868277,1554199,2143935,2159349,1222685,1507720,5.07,1920245.9,1507720,-0.21482972571377446,-0.0049838382319777426,5,1
Q570065,TRUE 레버리지 베트남 VN30 선물 ETN(H),2.99,090030,2.99,10330,10455,10765,10180,10125,9705,9860,10035,9835,9895,9805,9855,10120,53181,88513,90088,44192,11434,31022,18610,38397,16216,16782,92481,2.99,40843.5,92481,1.2642770575489366,-0.006956571826538643,125,1
Q570068,TRUE 코스닥 150 ETN,2.03,090010,2.03,8305,8305,7875,7845,7830,7685,7835,7960,7900,8015,8230,8140,8285,2,2,2,2,2,4,2,3,2,2,2,2.03,2.0,2,0.0,-0.0069624536785745485,0,0
Q570084,TRUE 블룸버그 인버스 2X 천연가스선물 ETN,5.00,090009,5.0,47735,47805,76985,68545,58470,53060,48200,45145,44795,44190,47145,45460,46140,72904,19432,5045,6152,1830,2672,1362,4142,18102,2782,5909,5.0,6835.444444444444,5909,-0.13553536305856728,-0.00012341329840612623,70,1
Q610042,메리츠 블룸버그 인버스 2X WTI선물 ETN(H),2.49,090009,2.49,19760,19790,19965,21095,20105,19820,20245,19220,19090,18430,17750,19180,19665,3599,13242,10436,1285,1422,7095,928,10482,14696,24556,4403,2.49,8774.1,4403,-0.49818214973615527,-0.0024969307892986604,30,1
Q610044,메리츠 인버스 천연가스 선물 ETN(H),2.28,090014,2.28,19055,19080,23685,22480,20755,19560,18800,17210,18280,18360,19035,18630,18745,51873,54067,34928,25444,9879,10708,18525,35217,122265,20427,16095,2.28,29007.555555555555,16095,-0.44514456003799774,-0.0007765407540181117,25,1
900140,엘브이엠씨홀딩스,7.32,090023,7.32,2210,2500,1759,1802,1795,1838,1856,1895,1953,1996,2060,1938,2150,853587,811104,867541,544919,577379,457227,508672,1193472,799677,1316118,2359840,7.32,792969.6,2359840,1.975952672082259,-0.005094585637578493,290,1
002230,피에스텍,2.98,090030,2.98,4670,4770,3730,3740,3685,3650,3680,3765,3920,4100,4280,4355,4550,156240,45645,24039,22676,11303,88859,88447,188785,78592,99679,113313,2.98,80426.5,113313,0.40890129497118477,-0.0035422135011849852,100,1
019660,글로본,2.34,090026,2.34,1750,2020,1581,1601,1585,1554,1541,1570,1570,1572,1521,1563,1748,61056,167537,196130,65813,96943,56516,174610,143261,130996,221043,1823870,2.34,131390.5,1823870,12.8812927875303,-0.012811845109950032,270,1
024880,케이피에프,4.75,090028,4.75,6850,6960,5610,7020,6710,6560,6670,6700,6620,6510,6550,6430,6470,17888372,12774812,3779859,2916844,1185242,1627303,961160,911556,638394,690826,2519137,4.75,1588898.0,2519137,0.5854617477018664,-0.00043075675636541254,110,1
027040,서울전자통신,2.44,090008,2.44,629,629,599,600,611,626,624,619,615,617,622,614,608,159030,198593,492165,194693,97690,80158,66121,55200,42262,120275,58917,2.44,112669.11111111111,58917,-0.4770793927547923,-0.00883803144478517,0,0
032980,바이온,5.09,090014,5.09,1074,1074,1149,1099,1051,1040,1040,1000,1016,960,985,1006,1008,108871,261862,476316,382058,212598,443932,241427,316859,339545,140242,380378,5.09,292371.0,380378,0.30101138621819534,-0.046720479176297104,0,0
039310,세중,2.95,090016,2.95,2970,2970,3010,3020,3020,3050,3070,3090,3100,2930,2775,2830,2845,68668,91047,146210,158092,123597,999155,129844,208197,149495,113181,107432,2.95,132036.77777777778,107432,-0.18634791148257512,0.02031643293779236,0,0
042510,라온시큐어,2.09,090011,2.09,2680,2785,2580,2585,2605,2555,2560,2580,2610,2675,2650,2630,2625,267821,219597,181363,109126,168388,132701,152237,788005,232678,177810,1116228,2.09,182413.44444444444,1116228,5.119220013632036,-0.015031517698399728,105,1
043090,엑서지21,3.72,090023,3.72,1586,1682,1300,1278,1217,1168,1184,1152,1170,1145,1151,1210,1495,722101,783707,1191916,970398,498744,758715,312477,494973,1368212,9766809,2970562,3.72,789027.0,2970562,2.7648420142783454,-0.013170047549002847,96,1
049950,미래컴퍼니,2.98,090025,2.98,39900,40950,22350,22400,22650,22100,23800,30450,37450,37050,38250,36600,34900,50991,43880,57563,91695,4110322,6150623,4843676,1489197,969198,595388,731623,2.98,1840253.3,731623,-0.6024335345574439,-5.047157272785135e-06,1050,1
050090,비케이홀딩스,3.57,090028,3.57,395,410,435,425,422,418,427,421,413,297,293,327,336,107661,170516,147370,126192,112247,122541,154428,5949205,20268872,26924296,5739755,3.57,861270.0,5739755,5.664292266072196,-0.03240524344046695,15,1
050760,에스폴리텍,2.81,090021,2.81,2700,2800,2680,2640,2560,2480,2475,2495,2555,2560,2585,2610,2640,65206,55874,2100363,131270,100216,113507,53548,77242,46167,57887,298279,2.81,77879.66666666667,298279,2.829998416360282,-0.021520113491548254,100,1
056080,유진로봇,2.17,090023,2.17,7520,7530,5150,5310,5350,5470,5600,5700,6100,6770,7440,7300,7020,1698227,2067745,780197,6098620,1253274,861522,16183814,12890051,4586023,2942447,1805508,2.17,2536006.875,1805508,-0.2880508259663137,-0.0008819704113152325,10,1
056360,코위버,7.04,090028,7.04,8310,8650,7410,7470,7520,7410,7360,7420,7480,7500,7690,7680,7850,29149,25427,22585,9805,29128,36386,38284,62833,50010,31987,1327555,7.04,30306.777777777777,1327555,42.80389791795748,-0.004436902052661311,340,1
058610,에스피지,11.41,090030,11.41,20300,24150,18150,18700,18800,19220,19390,19030,18820,18900,18770,18550,20000,767329,1456710,1095627,2934648,1278361,926520,998459,922059,505785,611205,18956684,11.41,951339.4444444445,18956684,18.92630927972315,-0.0008170120831187268,3850,1
059270,해성티피씨,8.18,090027,8.18,7530,8220,6500,6810,6970,7000,7110,6890,7120,7020,7110,6960,7040,1757380,689721,501637,815786,430075,220149,308622,278426,102712,189750,3135934,8.18,392986.44444444444,3135934,6.979751068597786,-0.0024024591377699157,690,1
060230,소니드,9.06,090030,9.06,6300,6770,4885,4705,4730,4950,5010,5030,4700,4680,4600,4620,5410,5722331,2464787,5857734,3024808,5623805,6039304,2383761,2005058,1898255,49258072,21088026,9.06,3891093.6666666665,21088026,4.419562674795544,-0.002786659265616458,470,1
060720,KH바텍,3.64,090027,3.64,16300,17090,14410,14550,14660,14280,14500,14100,14200,14700,14850,15610,16060,208073,96470,306898,137256,155658,244544,538523,172976,940976,292764,1561669,3.64,201829.875,1561669,6.7375512421042725,-0.002065541412670531,790,1
064820,케이프,2.88,090015,2.88,4110,4115,4070,4090,4035,4030,4085,4085,4080,4050,4020,3995,3985,62475,25548,50931,33329,21803,31551,27999,38620,29366,33681,49201,2.88,32536.444444444445,49201,0.5121812121791631,-0.04834437086092664,5,1
068330,일신바이오,3.50,090020,3.5,1537,1537,1528,1529,1495,1477,1470,1455,1446,1450,1450,1481,1450,103120,57511,119262,51265,60962,90535,124622,66368,112200,61944,86885,3.5,84778.9,86885,0.02484226617707952,-0.07807324690072905,0,0
068760,셀트리온제약,2.12,090022,2.12,81900,86900,58500,58700,57400,56400,56900,56200,56800,64400,65000,72300,79200,117182,67083,132336,116764,122834,149450,2492467,464645,2368672,1858967,1849141,2.12,789040.0,1849141,1.3435326472675655,-0.00016581504471981518,5000,1
074600,원익QnC,3.55,090021,3.55,23200,23750,24050,24000,23750,23250,23350,23300,23100,22950,23150,22450,22650,229953,229826,342843,189846,173192,192847,307398,346998,154956,347195,435853,3.55,251505.4,435853,0.7329767074583686,-0.004829123328380258,550,1
079170,한창산업,2.16,090015,2.16,10400,10400,9860,9750,9800,9590,9620,9780,9900,10020,10150,10050,10100,93506,18145,18944,15019,19772,20953,21424,25005,23111,16499,38206,2.16,19874.666666666668,38206,0.9223467060244195,-0.005380727213435516,0,0
083650,비에이치아이,3.22,090023,3.22,6810,6930,6140,6120,6070,5950,5830,5850,5990,5930,5950,6040,6570,128517,112227,135287,157460,267044,267294,125736,224996,272935,824122,1312921,3.22,187944.0,1312921,5.985703188183714,-0.00624465481140701,120,1
084730,팅크웨어,2.17,090017,2.17,13180,13180,13390,13410,13670,13250,13310,13240,13000,12270,12980,12750,12740,26503,80156,31624,36708,18148,22392,34138,39776,29017,29990,14622,2.17,29810.666666666668,14622,-0.5095044279452545,-0.004468085106382924,0,0
086040,바이오톡스텍,2.45,090023,2.45,9190,9320,8040,8040,8060,8150,8150,8160,8140,8340,8520,8830,8870,131793,54741,183233,103739,51543,97131,736972,266900,842531,295598,232856,2.45,148084.75,232856,0.5724509107116027,-0.0035753905555902465,130,1
086960,MDS테크,2.25,090029,2.25,3165,3285,2515,2660,2665,3110,3185,2995,3015,3065,2910,2880,3010,85289448,41241104,230295216,67713056,65040056,23294596,51469956,18531674,14209396,39983792,24178040,2.25,45197008.666666664,24178040,-0.465052207806142,0.001334446736745613,120,1
087600,픽셀플러스,2.02,090020,2.02,8590,8590,8470,8400,8400,8320,8340,8340,8380,8450,8460,8420,8260,63264,24755,33096,18948,14232,13677,14956,14682,46599,23509,15358,2.02,22717.11111111111,15358,-0.3239457286235534,-0.021222014925373282,0,0
089530,에이티세미콘,7.76,090026,7.76,708,708,750,729,712,703,689,690,677,685,658,640,645,3936068,2764427,1643601,779787,1337647,874845,960463,459055,808391,872994,424253,7.76,967097.875,424253,-0.5613132745224986,-0.09834213378219402,0,0
089850,유비벨록스,2.19,090030,2.19,13080,13130,12610,12650,12570,12210,12390,12480,12440,12320,12520,12800,12450,15344,9075,11399,8826,13157,9115,7419,20026,47110,10930,21957,2.19,11699.0,21957,0.8768270792375417,-0.00812841200057977,50,1
090360,로보스타,2.79,090025,2.79,35000,35100,28450,28950,29050,29950,33500,33600,33700,32500,32700,34050,32200,1290712,820293,552403,7582270,4233934,2584196,1606367,785215,644486,4326570,969488,2.79,2442644.6,969488,-0.6030990345464093,6.518267444513417e-05,100,1
091440,텔레필드,2.56,090017,2.56,2400,2730,2210,2260,2190,2130,2200,2215,2200,2125,2135,2100,2320,115716,169913,203302,169861,190857,122357,95242,169930,116097,287806,3474938,2.56,150363.88888888888,3474938,22.11018972492657,-0.010963034019664926,330,1
091990,셀트리온헬스케어,2.03,090026,2.03,65200,65800,55200,55300,54500,53600,54400,53600,54400,56600,57900,61700,63900,935663,418075,545954,496325,530879,546036,3346083,1043824,3328299,2252307,1404594,2.03,1344344.5,1404594,0.04481700933056976,-0.0004358063450099147,600,1
093640,다믈멀티미디어,6.03,090027,6.03,10680,10950,10360,9400,8770,9610,9630,10100,10060,10230,9150,9830,10200,1809581,3227787,2905948,2105473,880085,13363424,3367745,1942728,2655234,1716272,3665931,6.03,2290094.777777778,3665931,0.6007769790022759,-0.001351354985491418,270,1
094480,갤럭시아머니트리,2.43,090025,2.43,7530,8010,6520,6510,6610,6550,6900,7140,7240,7240,7330,7270,7250,644883,450834,463120,622504,4345647,2505602,6295789,2642340,11229385,1408887,7324401,2.43,2153289.5555555555,7324401,2.4014937661787346,-0.0008367738944207639,480,1
096610,알에프세미,3.37,090022,3.37,3985,4085,3575,3680,3555,3505,3560,3565,3530,3720,3810,3850,3910,174671,935568,362804,379036,190042,265175,844685,611206,475256,403096,434799,3.37,464153.9,434799,-0.06324389388950524,-0.009196753122523174,100,1
099220,SDN,8.37,090030,8.37,2360,2465,1893,1887,1860,1820,1878,1922,1910,1930,1935,1980,2110,375073,264137,413508,324787,246715,1056894,339000,614535,2196295,9204457,16572948,8.37,454331.125,16572948,35.47768574076892,-0.008427956179458285,105,1
100030,인지소프트,3.45,090024,3.45,30000,30000,22750,23050,24000,26450,25750,27700,28200,27300,27850,28050,27750,19663,115446,283761,184549,49565,80338,31715,35517,24165,18690,32564,3.45,62183.11111111111,32564,-0.47632083023614846,-1.2852231468687253e-05,0,0
101170,우림피티에스,3.35,090027,3.35,7180,7550,6700,6840,6650,6610,6660,6670,6810,6810,6880,6840,6470,384723,176824,178245,325062,122739,296806,166725,343912,466799,297512,2561574,3.35,275934.7,2561574,8.283261583265896,-0.005842480651525114,370,1
104040,대성파인텍,2.80,090025,2.8,1728,1728,1681,1670,1635,1575,1610,1638,1642,1642,1672,1663,1642,220329,130715,279995,266903,134323,156356,108844,272770,260610,154063,306142,2.8,198490.8,306142,0.5423485622507442,-0.043572621829621995,0,0
112290,영창케미칼,3.02,090023,3.02,14350,14380,12690,12920,13340,13000,13000,13090,13010,13020,13420,13500,13370,119037,175024,391830,61755,72808,101507,75590,96618,817722,764516,293845,3.02,136771.125,293845,1.1484432477981006,-0.0031013377082281758,30,1
114190,강원에너지,3.93,090027,3.93,14760,14850,9570,9540,9470,9530,9590,9530,10140,11910,13020,13310,12850,2125787,642861,397357,453684,442750,1698033,10118398,7404260,4674323,6392911,2642165,3.93,3435036.4,2642165,-0.23081892232641255,-0.0006778560918803231,90,1
