stock_code,stock_name,stock_class,gap_per,gap_hour,gap_int,stck_oprc,stck_hgpr,stck_lwpr_D_10,stck_lwpr_D_9,stck_lwpr_D_8,stck_lwpr_D_7,stck_lwpr_D_6,stck_lwpr_D_5,stck_lwpr_D_4,stck_lwpr_D_3,stck_lwpr_D_2,stck_lwpr_D_1,stck_lwpr_D_0,acml_vol_D_10,acml_vol_D_9,acml_vol_D_8,acml_vol_D_7,acml_vol_D_6,acml_vol_D_5,acml_vol_D_4,acml_vol_D_3,acml_vol_D_2,acml_vol_D_1,acml_vol_D_0,gap_change,mean_vlome,today_vlome,volume_change,slope,day_change,deter_change
Q530102,삼성 인버스 2X 천연가스 선물 ETN C,kospi,7.23,090002,7,59705,59730,63150,57285,52245,48830,48370,47580,51040,49105,50000,55405,55820,98330,129592,167120,82967,49743,99045,195485,63991,48248,92308,49843,7,99034.1,49843,-0.49670870942432965,4.623753885911858e-05,25,1
Q530106,삼성 레버리지 코스닥150 선물 ETN,kospi,8.77,090030,8,28475,28475,25000,24440,25400,25665,25755,27535,27975,27795,27215,25915,25450,262585,344030,575317,249438,63159,72817,24335,6422,69727,113717,85212,8,169328.0,85212,-0.4967636775961448,0.00017959179617898182,0,0
Q530067,삼성 KRX 금현물 ETN,kospi,2.61,090030,2,13940,13940,13310,13360,13385,13410,13445,13445,13430,13410,13420,13500,13695,1921,211,79,33,1,235,91,702,0,953,2042,2,169.0,2042,11.08284023668639,0.0003494268962561246,0,0
Q530031,삼성 레버리지 WTI원유 선물 ETN,kospi,4.20,090022,4,1365,1365,1290,1325,1310,1370,1375,1405,1460,1360,1345,1300,1335,1694329,1108855,907813,2108373,409793,1719857,2023929,2960941,1840307,2136354,2719629,4,1477553.2,2719629,0.8406301715565978,0.004058885125081945,0,0
Q530061,삼성 레버리지 은 선물 ETN(H),kospi,6.54,090030,6,9935,10120,10605,9880,9885,10120,10250,10460,10330,9215,9285,9220,9875,19042,29586,19188,22739,17529,24256,16982,70084,12841,21371,49623,6,19115.333333333332,49623,1.5959787953824156,0.0005116024886977859,185,1
Q530063,삼성 레버리지 구리 선물 ETN(H),kospi,2.12,090016,2,15430,15735,15615,14800,15200,16180,15755,15550,15730,14920,15290,15065,15230,5407,28287,4654,11969,6111,2195,43497,29221,9968,5153,27430,2,15653.9,27430,0.7522789847897329,0.00033023521085859313,305,1
Q570046,TRUE 인버스 2X 천연가스 선물 ETN(H),kospi,8.26,090030,8,1310,1315,1410,1265,1150,1085,1080,1065,1140,1080,1100,1205,1250,1838880,2602550,2871776,1868277,1554199,2143935,2159349,1222685,1542861,1987839,2044300,8,1780576.2,2044300,0.14811149334692897,0.0022028157435468303,5,1
Q570061,TRUE 레버리지 은 선물 ETN,kospi,5.61,090012,5,13280,13305,14035,13300,13280,13535,13590,13800,13645,12385,12460,12450,13200,1085,692,221,215,685,436,52,3980,125,46,4310,5,438.875,4310,8.820563941896895,0.00038226433319116254,25,1
Q570069,TRUE 레버리지 플래티넘 선물 ETN,kospi,5.88,090011,5,18915,18915,17950,16610,17800,18260,18670,18985,19015,17585,17805,17830,18585,478,1116,937,676,439,1103,501,259,174,426,327,5,631.4444444444445,327,-0.48213971493929264,0.00028011969909809095,0,0
Q570078,TRUE 블룸버그 레버리지 WTI원유 선물 ETN,kospi,3.98,090029,3,12940,12960,12305,12640,12500,13050,13110,13395,13965,12995,12790,12405,12735,26499,24840,21201,5020,20205,37638,27684,22704,3346,4555,35020,3,20187.2,35020,0.7347626218593959,0.0004285414667068997,20,1
Q570084,TRUE 블룸버그 인버스 2X 천연가스선물 ETN,kospi,6.71,090008,6,55000,55000,58470,53060,48200,45145,44795,44190,47145,45460,46140,51240,51590,5045,6152,1830,2672,1362,4142,18102,2782,5909,5740,13028,6,3736.75,13028,2.4864521308623804,5.0822248544146915e-05,0,0
Q580019,KB 인버스 2X 항셍테크 선물 ETN,kospi,5.34,090030,5,15000,15000,12200,12890,12810,11920,11225,11290,11395,12370,12800,13820,12835,8166,2859,7327,10243,6166,11681,4781,2826,3122,19424,18640,5,7000.6,18640,1.662628917521355,0.00017631393145251824,0,0
Q580021,KB 인버스 천연가스 선물 ETN,kospi,2.71,090007,2,10820,10875,10865,10340,10020,9590,9570,9545,9935,9860,9945,10500,10445,16914,12443,19038,113781,9969,9188,37112,10990,16599,12875,13659,2,13198.25,13659,0.03490993124088426,0.00036466690196098207,55,1
Q580022,KB 레버리지 금 선물 ETN(H),kospi,5.30,090008,5,19955,20100,18870,18525,18575,19015,19105,19410,19315,18545,18560,18945,19795,0,0,47,15,190,1156,500,0,500,51,1121,5,267.55555555555554,1121,3.1897840531561465,0.0002475043819163789,145,1
Q580036,KB S&P 레버리지 WTI원유 선물 ETN(H),kospi,4.71,090030,4,12120,12180,11695,11785,11720,12300,12375,12740,13195,12180,11970,11530,11970,36158,28693,5330,8654,5632,8736,22921,25296,2816,11505,6746,4,15620.6,6746,-0.5681343866432788,0.0004604051821530012,60,1
Q580046,KB 블룸버그 인버스2X 천연가스선물 ETN(H),kospi,6.82,090028,6,59490,59955,64190,57530,52260,49380,49000,48510,51735,49490,50305,55465,57190,3266,5132,4981,5867,1127,9805,6209,2418,1029,3762,2721,6,4426.0,2721,-0.38522367826479886,4.814075833107332e-05,465,1
Q610012,메리츠 레버리지 금 선물 ETN(H),kospi,4.88,090020,4,19660,19850,18645,18410,18430,18890,18930,19230,19060,18380,18420,18745,19660,57,4,95,22,3,11,2,66,1,17,115,4,29.0,115,2.9655172413793105,0.0002516094138414985,190,1
Q610028,메리츠 레버리지 구리 선물 ETN(H),kospi,2.16,090023,2,15365,15395,15565,14745,15180,16115,15715,15525,15700,14905,15380,15005,15240,107,330,5,242,3,2,0,14,5,6,16,2,78.66666666666667,16,-0.7966101694915254,0.0003370222923671781,30,1
Q610041,메리츠 블룸버그 레버리지 WTI선물 ETN(H),kospi,5.10,090030,5,12155,12185,11720,11790,11755,12300,12400,12805,13275,12225,11990,11555,11950,34547,10787,3172,12366,2645,631,224,1207,1303,1343,12337,5,4920.555555555556,12337,1.5072372135034438,0.0004612499130335047,30,1
Q610044,메리츠 인버스 천연가스 선물 ETN(H),kospi,4.14,090008,4,20500,20500,20755,19560,18800,17210,18280,18360,19035,18630,18745,19685,20005,34928,25444,9879,10708,18525,35217,122265,20427,16095,1979,20058,4,21247.555555555555,20058,-0.055985525132302816,0.0001944664104176345,0,0
Q610061,메리츠 3X 레버리지 국채30년 ETN,kospi,2.06,090005,2,49955,52955,47710,47940,45235,43025,41585,44500,44835,44890,44985,44985,49955,26255,19634,64800,54765,44822,53993,21902,38119,13170,79410,66963,2,38741.5,66963,0.7284565646657977,7.147879780962682e-05,3000,1
012860,모베이스전자,kospi,4.00,090017,4,1700,1702,1516,1477,1565,1552,1587,1592,1578,1602,1611,1569,1590,373158,317312,725004,300016,291422,242066,366411,301513,390447,288212,1062145,4,287103.8888888889,1062145,2.6995145001712504,0.0028380108860618014,2,1
