stock_code,stock_name,stock_class,gap_per,gap_hour,gap_int,stck_oprc,stck_hgpr,stck_lwpr_D_10,stck_lwpr_D_9,stck_lwpr_D_8,stck_lwpr_D_7,stck_lwpr_D_6,stck_lwpr_D_5,stck_lwpr_D_4,stck_lwpr_D_3,stck_lwpr_D_2,stck_lwpr_D_1,stck_lwpr_D_0,acml_vol_D_10,acml_vol_D_9,acml_vol_D_8,acml_vol_D_7,acml_vol_D_6,acml_vol_D_5,acml_vol_D_4,acml_vol_D_3,acml_vol_D_2,acml_vol_D_1,acml_vol_D_0,gap_change,mean_vlome,today_vlome,volume_change,slope,day_change,deter_change,day_change_per
000995,DB하이텍1우,kospi,29.95,090002,29.95,125400.0,125400.0,93600.0,94700.0,94300.0,95100.0,94000.0,96400.0,99200.0,97500.0,95700.0,96500.0,125200.0,802.0,274.0,656.0,424.0,464.0,6856.0,3606.0,2029.0,2757.0,2410.0,16349.0,29.95,1985.3333333333333,16349,7.234889187374076,2.4868847241213303e-05,0.0,0,0.0
001745,SK네트웍스우,kospi,2.74,090023,2.74,52500.0,55000.0,49500.0,49800.0,49600.0,50400.0,49550.0,49700.0,49200.0,49750.0,49800.0,50500.0,50800.0,1730.0,966.0,902.0,982.0,1240.0,372.0,444.0,197.0,277.0,1236.0,2619.0,2.74,790.0,2619,2.3151898734177214,8.541516923607902e-05,2500.0,1,0.04761904761904767
001790,대한제당,kospi,2.28,090024,2.28,2690.0,2730.0,2545.0,2565.0,2540.0,2555.0,2545.0,2530.0,2490.0,2515.0,2555.0,2560.0,2655.0,143339.0,75943.0,127075.0,109544.0,118751.0,146896.0,165010.0,233896.0,192060.0,181136.0,485469.0,2.28,120141.44444444444,485469,3.0408120798355274,0.0016916398327387432,40.0,1,0.014869888475836479
001795,대한제당우,kospi,2.19,090030,2.19,2330.0,2335.0,2290.0,2300.0,2290.0,2245.0,2205.0,2230.0,2230.0,2190.0,2230.0,2230.0,2255.0,11837.0,11378.0,19565.0,29191.0,45817.0,18895.0,21084.0,36081.0,29714.0,21281.0,79213.0,2.19,22581.7,79213,2.5078404194546913,0.001991972106864367,5.0,1,0.0021459227467810482
002900,TYM,kospi,3.60,090027,3.6,2420.0,2495.0,2270.0,2305.0,2315.0,2255.0,2225.0,2230.0,2270.0,2305.0,2290.0,2280.0,2370.0,2111075.0,1316344.0,1401392.0,2600146.0,2814752.0,1432899.0,1935207.0,7026434.0,2763491.0,2014599.0,7059290.0,3.6,1819741.7777777778,7059290,2.879281162968421,0.0018224040004556458,75.0,1,0.030991735537190035
003300,한일홀딩스,kospi,2.04,090016,2.04,11500.0,11500.0,10910.0,10950.0,11000.0,11100.0,11070.0,11080.0,11100.0,11100.0,11140.0,11150.0,11320.0,3781.0,5322.0,2852.0,2097.0,3174.0,1836.0,1779.0,3281.0,1527.0,2179.0,6762.0,2.04,2849.8888888888887,6762,1.372724082810246,0.00042626220383757004,0.0,0,0.0
006740,영풍제지,kospi,2.02,090025,2.02,25100.0,26100.0,17620.0,17900.0,18460.0,17250.0,18720.0,18640.0,18800.0,19090.0,20000.0,22800.0,23250.0,221692.0,148108.0,229355.0,325397.0,249947.0,210286.0,259194.0,221150.0,538209.0,488615.0,507222.0,2.02,195372.75,507222,1.5961757716979466,9.780971375317665e-05,1000.0,1,0.03984063745019917
007810,코리아써키트,kospi,2.22,090015,2.22,17040.0,17100.0,14360.0,14340.0,14110.0,14000.0,14260.0,14890.0,15400.0,15400.0,16010.0,16500.0,15990.0,333169.0,216275.0,179994.0,260177.0,243890.0,770794.0,326152.0,614839.0,712534.0,1139423.0,570143.0,2.22,367381.4,570143,0.5519103580094147,0.00025022770852130326,60.0,1,0.0035211267605634866
009835,한화솔루션우,kospi,9.02,090030,9.02,41000.0,48800.0,41000.0,41000.0,41000.0,41000.0,41000.0,41000.0,41000.0,41000.0,41000.0,41000.0,38600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,919065.0,9.02,0.0,919065,inf,0.00010114399156349162,7800.0,1,0.19024390243902434
010580,에스엠벡셀,kospi,2.57,090011,2.57,2395.0,2395.0,2180.0,2165.0,2215.0,2210.0,2215.0,2230.0,2295.0,2370.0,2375.0,2320.0,2290.0,256408.0,249051.0,528698.0,218073.0,328607.0,176812.0,450557.0,195255.0,163596.0,254576.0,278467.0,2.57,226738.77777777778,278467,0.22814016521214575,0.0020218184450819425,0.0,0,0.0
